test_id,trial,orifice,volume_ml,time_s,hydraulic_head_m,bore_mm,flow_l_min,mean_flow,std_flow,n,theory_flow,theory_vel_m_s,theory_bore_mm,vel_meas_m_s,vel_meas_err_m_s,rsd_pct,rsd_err_pct,total_flow_l_min,v_max_m_s,v_min_m_s,dv_pct,req_rsd_ok,req_dv_ok
5,2,10,130,30,0.4,2.0,0.26,0.26,0.0,2,0.48238897299679423,2.559152984848754,1.7014754766027549,1.3793428401297596,0.0,1.3641931469836908,0.30509446508665955,3.1100000000000003,1.8037560217081474,1.3793428401297596,23.529411764705895,True,False
5,2,11,130,30,0.4,2.0,0.26,0.26,0.0,2,0.4775650832668263,2.5335614550002665,1.7014754766027549,1.3793428401297596,0.0,1.3641931469836908,0.30509446508665955,3.1100000000000003,1.8037560217081474,1.3793428401297596,23.529411764705895,True,False
6,1,1,175,25,0.4,2.5,0.41999999999999993,0.39599999999999996,0.03174901573277507,3,0.8250887133042211,2.8014282071829006,1.7014754766027549,1.3445409592403317,0.10779760623303479,10.874610085755867,2.4576393830334893,4.208,1.4396095119138903,1.113660188461689,22.641509433962245,False,False
6,1,2,170,25,0.4,2.5,0.40800000000000003,0.37600000000000006,0.03666060555964672,3,0.816837826171179,2.7734139251110714,1.7014754766027549,1.2766348501877902,0.1244739539532799,10.874610085755867,2.4576393830334893,4.208,1.4396095119138903,1.113660188461689,22.641509433962245,False,False
6,1,3,190,25,0.4,2.5,0.45599999999999996,0.42399999999999993,0.036660605559646696,3,0.808669447909467,2.7456797858599606,1.7014754766027549,1.4396095119138903,0.12447395395327983,10.874610085755867,2.4576393830334893,4.208,1.4396095119138903,1.113660188461689,22.641509433962245,False,False
6,1,4,175,25,0.4,2.5,0.41999999999999993,0.37999999999999995,0.034641016151377504,3,0.8005827534303726,2.7182229880013615,1.7014754766027549,1.290216071998298,0.1176168310233155,10.874610085755867,2.4576393830334893,4.208,1.4396095119138903,1.113660188461689,22.641509433962245,False,False
6,1,5,180,25,0.4,2.5,0.43199999999999994,0.39199999999999996,0.03666060555964669,3,0.7925769258960687,2.6910407581213476,1.7014754766027549,1.3309597374298232,0.1244739539532798,10.874610085755867,2.4576393830334893,4.208,1.4396095119138903,1.113660188461689,22.641509433962245,False,False
6,1,6,190,25,0.4,2.5,0.45599999999999996,0.39199999999999996,0.06039867548216599,3,0.7846511566371079,2.664130350540134,1.7014754766027549,1.3309597374298232,0.20507195219605295,10.874610085755867,2.4576393830334893,4.208,1.4396095119138903,1.113660188461689,22.641509433962245,False,False
6,1,7,170,25,0.4,2.5,0.40800000000000003,0.39200000000000007,0.02771281292110206,3,0.776804645070737,2.637489047034733,1.7014754766027549,1.3309597374298239,0.09409346481865259,10.874610085755867,2.4576393830334893,4.208,1.4396095119138903,1.113660188461689,22.641509433962245,False,False
6,1,8,170,25,0.4,2.5,0.40800000000000003,0.37600000000000006,0.03666060555964672,3,0.7690365986200295,2.611114156564385,1.7014754766027549,1.2766348501877902,0.1244739539532799,10.874610085755867,2.4576393830334893,4.208,1.4396095119138903,1.113660188461689,22.641509433962245,False,False
6,1,9,170,25,0.4,2.5,0.40800000000000003,0.37600000000000006,0.02771281292110206,3,0.7613462326338293,2.5850030149987417,1.7014754766027549,1.2766348501877902,0.09409346481865259,10.874610085755867,2.4576393830334893,4.208,1.4396095119138903,1.113660188461689,22.641509433962245,False,False
6,1,10,190,25,0.4,2.5,0.45599999999999996,0.37599999999999995,0.07332121111929342,3,0.753732770307491,2.559152984848754,1.7014754766027549,1.2766348501877895,0.24894790790655974,10.874610085755867,2.4576393830334893,4.208,1.4396095119138903,1.113660188461689,22.641509433962245,False,False
6,1,11,150,25,0.4,2.5,0.36,0.328,0.055425625842204056,3,0.7461954426044161,2.5335614550002665,1.7014754766027549,1.113660188461689,0.18818692963730496,10.874610085755867,2.4576393830334893,4.208,1.4396095119138903,1.113660188461689,22.641509433962245,False,False
6,2,1,170,25,0.4,2.5,0.40800000000000003,0.39599999999999996,0.03174901573277507,3,0.8250887133042211,2.8014282071829006,1.7014754766027549,1.3445409592403317,0.10779760623303479,10.874610085755867,2.4576393830334893,4.208,1.4396095119138903,1.113660188461689,22.641509433962245,False,False
6,2,2,160,25,0.4,2.5,0.384,0.37600000000000006,0.03666060555964672,3,0.816837826171179,2.7734139251110714,1.7014754766027549,1.2766348501877902,0.1244739539532799,10.874610085755867,2.4576393830334893,4.208,1.4396095119138903,1.113660188461689,22.641509433962245,False,False
6,2,3,180,25,0.4,2.5,0.43199999999999994,0.42399999999999993,0.036660605559646696,3,0.808669447909467,2.7456797858599606,1.7014754766027549,1.4396095119138903,0.12447395395327983,10.874610085755867,2.4576393830334893,4.208,1.4396095119138903,1.113660188461689,22.641509433962245,False,False
6,2,4,150,25,0.4,2.5,0.36,0.37999999999999995,0.034641016151377504,3,0.8005827534303726,2.7182229880013615,1.7014754766027549,1.290216071998298,0.1176168310233155,10.874610085755867,2.4576393830334893,4.208,1.4396095119138903,1.113660188461689,22.641509433962245,False,False
6,2,5,160,25,0.4,2.5,0.384,0.39199999999999996,0.03666060555964669,3,0.7925769258960687,2.6910407581213476,1.7014754766027549,1.3309597374298232,0.1244739539532798,10.874610085755867,2.4576393830334893,4.208,1.4396095119138903,1.113660188461689,22.641509433962245,False,False
6,2,6,140,25,0.4,2.5,0.336,0.39199999999999996,0.06039867548216599,3,0.7846511566371079,2.664130350540134,1.7014754766027549,1.3309597374298232,0.20507195219605295,10.874610085755867,2.4576393830334893,4.208,1.4396095119138903,1.113660188461689,22.641509433962245,False,False
6,2,7,170,25,0.4,2.5,0.40800000000000003,0.39200000000000007,0.02771281292110206,3,0.776804645070737,2.637489047034733,1.7014754766027549,1.3309597374298239,0.09409346481865259,10.874610085755867,2.4576393830334893,4.208,1.4396095119138903,1.113660188461689,22.641509433962245,False,False
